Timestamp,Name,Value
2.724163,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_brightness/default",0
2.781181,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_absolute/step",1
2.778936,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/white_balance_temperature/min",2800
2.702569,"NT:/SmartDashboard/Driver Settings/Base Turn Speed",0.45
2.703069,"NT:/SmartDashboard/Driver Settings/Speed Filtering",0.25
2.757168,"NT:/CameraPublisher/USB Camera 0/RawProperty/raw_hue",0
2.779086,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/white_balance_temperature/default",4600
2.779377,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_sharpness/default",3
2.514488,"NT:/SmartDashboard/Limelight/Ring Distance",150
3.569429,"NT:/SmartDashboard/Autonomous/.instance",0
1.161085,"NT:/FMSInfo/IsRedAlliance",true
2.468908,"NT:/SmartDashboard/Shooter/Feeder/Tuning PD",false
2.702705,"NT:/SmartDashboard/Driver Settings/Speed Deadband",0
2.765625,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_gain/max",100
2.779774,"NT:/CameraPublisher/USB Camera 0/Property/backlight_compensation",1
2.759429,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/hue/step",1
2.451774,"NT:/SmartDashboard/Shooter/Shooter/D",0.00033
1.161186,"NT:/FMSInfo/StationNumber",1
2.451763,"NT:/SmartDashboard/Shooter/Shooter/I",0
2.445145,"NT:/SmartDashboard/Shooter/Shooter/Tuning PD",false
3.541217,"NT:/SmartDashboard/Drivetrain/Alignment/Angle/Tuning Speed",0.75
2.451745,"NT:/SmartDashboard/Shooter/Shooter/P",0.005
2.75687,"NT:/CameraPublisher/USB Camera 0/Property/saturation",50
2.331245,"NT:/SmartDashboard/Intake/Auto Retract",true
2.703158,"NT:/SmartDashboard/Driver Settings/Turn Filtering",0.02
2.755384,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/contrast/min",0
2.729092,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/brightness/step",1
2.780272,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_auto/min",0
2.780405,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_auto/default",3
2.858604,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/Error Filter",0
2.779472,"NT:/CameraPublisher/USB Camera 0/Property/sharpness",20
2.780362,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_auto/step",1
2.781132,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_absolute/max",100
2.78123,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_absolute/default",4
2.765812,"NT:/CameraPublisher/USB Camera 0/Property/gain",0
2.755013,"NT:/CameraPublisher/USB Camera 0/RawProperty/raw_contrast",32
2.758627,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/hue/min",0
2.78092,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_exposure_absolute/default",226
2.781331,"NT:/CameraPublisher/USB Camera 0/Property/exposure_auto_priority",true
2.522233,"NT:/SmartDashboard/Limelight/Max Angle Error",2
2.728908,"NT:/CameraPublisher/USB Camera 0/Property/brightness",33
2.522319,"NT:/SmartDashboard/Limelight/Max Distance Error",0.15239999999999998
2.765904,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/gain/max",100
2.755231,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_contrast/default",32
2.755139,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_contrast/max",127
